Statistic,Quarter,Garda Region,Type of Offence,UNIT,VALUE
Recorded Crime Offences Under Reservation,2017Q3,30 Eastern Region,Litter offences,Number,12
Recorded Crime Offences Under Reservation,2017Q3,30 Eastern Region,Public order and other social code offences,Number,1604
Recorded Crime Offences Under Reservation,2017Q3,30 Eastern Region,Disorderly conduct,Number,1372
Recorded Crime Offences Under Reservation,2017Q3,30 Eastern Region,Trespass offences,Number,145
Recorded Crime Offences Under Reservation,2017Q3,30 Eastern Region,Liquor licensing offences,Number,30
Recorded Crime Offences Under Reservation,2017Q3,30 Eastern Region,Prostitution offences,Number,2
Recorded Crime Offences Under Reservation,2017Q3,30 Eastern Region,"Regulated betting/money, collection/trading offences",Number,10
Recorded Crime Offences Under Reservation,2017Q3,30 Eastern Region,Social code offences (n.e.c.),Number,45
Recorded Crime Offences Under Reservation,2017Q3,30 Eastern Region,"Offences against government, justice procedures and organisation of crime",Number,478
Recorded Crime Offences Under Reservation,2017Q3,30 Eastern Region,Offences against government and its agents,Number,3
Recorded Crime Offences Under Reservation,2017Q3,30 Eastern Region,Organisation of crime and conspiracy to commit crime,Number,0
Recorded Crime Offences Under Reservation,2017Q3,30 Eastern Region,Perverting the course of justice,Number,2
Recorded Crime Offences Under Reservation,2017Q3,30 Eastern Region,"Offences while in custody, breach of court orders",Number,473
Recorded Crime Offences Under Reservation,2017Q3,40 Southern Region,Homicide offences,Number,9
Recorded Crime Offences Under Reservation,2017Q3,40 Southern Region,Murder,Number,1
Recorded Crime Offences Under Reservation,2017Q3,40 Southern Region,Manslaughter,Number,1
Recorded Crime Offences Under Reservation,2017Q3,40 Southern Region,Infanticide,Number,0
Recorded Crime Offences Under Reservation,2017Q3,40 Southern Region,Dangerous driving leading to death,Number,7
Recorded Crime Offences Under Reservation,2017Q3,40 Southern Region,Sexual offences,Number,162
Recorded Crime Offences Under Reservation,2017Q3,40 Southern Region,Rape and sexual assault,Number,142
Recorded Crime Offences Under Reservation,2017Q3,40 Southern Region,Other sexual offences,Number,20
Recorded Crime Offences Under Reservation,2017Q3,40 Southern Region,"Attempts/threats to murder, assaults, harassments and related offences",Number,1121
Recorded Crime Offences Under Reservation,2017Q3,40 Southern Region,Murder-attempt,Number,0
Recorded Crime Offences Under Reservation,2017Q3,40 Southern Region,Threat to kill or cause serious harm,Number,38
Recorded Crime Offences Under Reservation,2017Q3,40 Southern Region,Harassment and related offences,Number,70
Recorded Crime Offences Under Reservation,2017Q3,40 Southern Region,"Assault causing harm, poisoning",Number,231
Recorded Crime Offences Under Reservation,2017Q3,40 Southern Region,Other assault,Number,782
Recorded Crime Offences Under Reservation,2017Q3,40 Southern Region,Dangerous or negligent acts,Number,558
Recorded Crime Offences Under Reservation,2017Q3,40 Southern Region,Dangerous driving causing serious bodily harm,Number,1
Recorded Crime Offences Under Reservation,2017Q3,40 Southern Region,Driving/in charge of a vehicle while over legal alcohol limit,Number,486
Recorded Crime Offences Under Reservation,2017Q3,40 Southern Region,Driving/in charge of a vehicle under the influence of drugs,Number,26
Recorded Crime Offences Under Reservation,2017Q3,40 Southern Region,Endangerment with potential for serious harm/death,Number,6
Recorded Crime Offences Under Reservation,2017Q3,40 Southern Region,"Abandoning a child, child neglect and cruelty",Number,32
Recorded Crime Offences Under Reservation,2017Q3,40 Southern Region,Unseaworthy/dangerous use of boat or ship,Number,0
Recorded Crime Offences Under Reservation,2017Q3,40 Southern Region,False alarm/interference with aircraft or air transport facilities,Number,0
Recorded Crime Offences Under Reservation,2017Q3,40 Southern Region,Endangering traffic offences,Number,7
Recorded Crime Offences Under Reservation,2017Q3,40 Southern Region,Kidnapping and related offences,Number,5
Recorded Crime Offences Under Reservation,2017Q3,40 Southern Region,False imprisonment,Number,3
Recorded Crime Offences Under Reservation,2017Q3,40 Southern Region,Abduction of person under 16 years of age,Number,1
Recorded Crime Offences Under Reservation,2017Q3,40 Southern Region,Human trafficking offences,Number,1
Recorded Crime Offences Under Reservation,2017Q3,40 Southern Region,"Robbery, extortion and hijacking offences",Number,58
Recorded Crime Offences Under Reservation,2017Q3,40 Southern Region,Robbery of an establishment or institution,Number,17
Recorded Crime Offences Under Reservation,2017Q3,40 Southern Region,Robbery of cash or goods in transit,Number,0
Recorded Crime Offences Under Reservation,2017Q3,40 Southern Region,Robbery from the person,Number,35
Recorded Crime Offences Under Reservation,2017Q3,40 Southern Region,Blackmail or extortion,Number,2
Recorded Crime Offences Under Reservation,2017Q3,40 Southern Region,"Carjacking, hijacking/unlawful seizure of aircraft/vessel",Number,4
Recorded Crime Offences Under Reservation,2017Q3,40 Southern Region,Burglary and related offences,Number,659
Recorded Crime Offences Under Reservation,2017Q3,40 Southern Region,Aggravated burglary,Number,5
Recorded Crime Offences Under Reservation,2017Q3,40 Southern Region,Burglary (not aggravated),Number,649
Recorded Crime Offences Under Reservation,2017Q3,40 Southern Region,"Possession of an article (with intent to burgle, steal, demand)",Number,5
Recorded Crime Offences Under Reservation,2017Q3,40 Southern Region,Theft and related offences,Number,2984
Recorded Crime Offences Under Reservation,2017Q3,40 Southern Region,Theft/taking of vehicle and related offences,Number,201
Recorded Crime Offences Under Reservation,2017Q3,40 Southern Region,Theft from person,Number,61
Recorded Crime Offences Under Reservation,2017Q3,40 Southern Region,Theft from shop,Number,1218
Recorded Crime Offences Under Reservation,2017Q3,40 Southern Region,"Other thefts, handling stolen property",Number,1504
Recorded Crime Offences Under Reservation,2017Q3,40 Southern Region,"Fraud, deception and related offences",Number,223
Recorded Crime Offences Under Reservation,2017Q3,40 Southern Region,Controlled drug offences,Number,1135
Recorded Crime Offences Under Reservation,2017Q3,40 Southern Region,Importation of drugs,Number,0
Recorded Crime Offences Under Reservation,2017Q3,40 Southern Region,Cultivation or manufacture of drugs,Number,17
Recorded Crime Offences Under Reservation,2017Q3,40 Southern Region,Possession of drugs for sale or supply,Number,199
Recorded Crime Offences Under Reservation,2017Q3,40 Southern Region,Possession of drugs for personal use,Number,886
Recorded Crime Offences Under Reservation,2017Q3,40 Southern Region,Other drug offences,Number,33
Recorded Crime Offences Under Reservation,2017Q3,40 Southern Region,Weapons and Explosives Offences,Number,128
Recorded Crime Offences Under Reservation,2017Q3,40 Southern Region,"Explosives, chemical weapons offences",Number,1
Recorded Crime Offences Under Reservation,2017Q3,40 Southern Region,Discharging a firearm,Number,6
Recorded Crime Offences Under Reservation,2017Q3,40 Southern Region,Possession of a firearm,Number,5
Recorded Crime Offences Under Reservation,2017Q3,40 Southern Region,Offensive weapons offences (n.e.c.),Number,115
Recorded Crime Offences Under Reservation,2017Q3,40 Southern Region,Fireworks offences,Number,1
Recorded Crime Offences Under Reservation,2017Q3,40 Southern Region,Damage to property and to the environment,Number,1158
Recorded Crime Offences Under Reservation,2017Q3,40 Southern Region,Arson,Number,74
Recorded Crime Offences Under Reservation,2017Q3,40 Southern Region,Criminal damage (not arson),Number,1072
Recorded Crime Offences Under Reservation,2017Q3,40 Southern Region,Litter offences,Number,12
Recorded Crime Offences Under Reservation,2017Q3,40 Southern Region,Public order and other social code offences,Number,2143
Recorded Crime Offences Under Reservation,2017Q3,40 Southern Region,Disorderly conduct,Number,1818
Recorded Crime Offences Under Reservation,2017Q3,40 Southern Region,Trespass offences,Number,103
Recorded Crime Offences Under Reservation,2017Q3,40 Southern Region,Liquor licensing offences,Number,110
Recorded Crime Offences Under Reservation,2017Q3,40 Southern Region,Prostitution offences,Number,3
Recorded Crime Offences Under Reservation,2017Q3,40 Southern Region,"Regulated betting/money, collection/trading offences",Number,7
Recorded Crime Offences Under Reservation,2017Q3,40 Southern Region,Social code offences (n.e.c.),Number,102
Recorded Crime Offences Under Reservation,2017Q3,40 Southern Region,"Offences against government, justice procedures and organisation of crime",Number,691
Recorded Crime Offences Under Reservation,2017Q3,40 Southern Region,Offences against government and its agents,Number,6
Recorded Crime Offences Under Reservation,2017Q3,40 Southern Region,Organisation of crime and conspiracy to commit crime,Number,0
Recorded Crime Offences Under Reservation,2017Q3,40 Southern Region,Perverting the course of justice,Number,4
Recorded Crime Offences Under Reservation,2017Q3,40 Southern Region,"Offences while in custody, breach of court orders",Number,681
Recorded Crime Offences Under Reservation,2017Q4,10 Dublin Metropolitan Region,Homicide offences,Number,5
Recorded Crime Offences Under Reservation,2017Q4,10 Dublin Metropolitan Region,Murder,Number,2
Recorded Crime Offences Under Reservation,2017Q4,10 Dublin Metropolitan Region,Manslaughter,Number,1
Recorded Crime Offences Under Reservation,2017Q4,10 Dublin Metropolitan Region,Infanticide,Number,0
Recorded Crime Offences Under Reservation,2017Q4,10 Dublin Metropolitan Region,Dangerous driving leading to death,Number,2
Recorded Crime Offences Under Reservation,2017Q4,10 Dublin Metropolitan Region,Sexual offences,Number,208
Recorded Crime Offences Under Reservation,2017Q4,10 Dublin Metropolitan Region,Rape and sexual assault,Number,186
Recorded Crime Offences Under Reservation,2017Q4,10 Dublin Metropolitan Region,Other sexual offences,Number,22
Recorded Crime Offences Under Reservation,2017Q4,10 Dublin Metropolitan Region,"Attempts/threats to murder, assaults, harassments and related offences",Number,1500
Recorded Crime Offences Under Reservation,2017Q4,10 Dublin Metropolitan Region,Murder-attempt,Number,3
Recorded Crime Offences Under Reservation,2017Q4,10 Dublin Metropolitan Region,Threat to kill or cause serious harm,Number,53
Recorded Crime Offences Under Reservation,2017Q4,10 Dublin Metropolitan Region,Harassment and related offences,Number,118
Recorded Crime Offences Under Reservation,2017Q4,10 Dublin Metropolitan Region,"Assault causing harm, poisoning",Number,355
Recorded Crime Offences Under Reservation,2017Q4,10 Dublin Metropolitan Region,Other assault,Number,971
Recorded Crime Offences Under Reservation,2017Q4,10 Dublin Metropolitan Region,Dangerous or negligent acts,Number,427
Recorded Crime Offences Under Reservation,2017Q4,10 Dublin Metropolitan Region,Dangerous driving causing serious bodily harm,Number,0
Recorded Crime Offences Under Reservation,2017Q4,10 Dublin Metropolitan Region,Driving/in charge of a vehicle while over legal alcohol limit,Number,350
Recorded Crime Offences Under Reservation,2017Q4,10 Dublin Metropolitan Region,Driving/in charge of a vehicle under the influence of drugs,Number,11
Recorded Crime Offences Under Reservation,2017Q4,10 Dublin Metropolitan Region,Endangerment with potential for serious harm/death,Number,10
Recorded Crime Offences Under Reservation,2017Q4,10 Dublin Metropolitan Region,"Abandoning a child, child neglect and cruelty",Number,30
Recorded Crime Offences Under Reservation,2017Q4,10 Dublin Metropolitan Region,Unseaworthy/dangerous use of boat or ship,Number,1
Recorded Crime Offences Under Reservation,2017Q4,10 Dublin Metropolitan Region,False alarm/interference with aircraft or air transport facilities,Number,1
Recorded Crime Offences Under Reservation,2017Q4,10 Dublin Metropolitan Region,Endangering traffic offences,Number,24
Recorded Crime Offences Under Reservation,2017Q4,10 Dublin Metropolitan Region,Kidnapping and related offences,Number,12
Recorded Crime Offences Under Reservation,2017Q4,10 Dublin Metropolitan Region,False imprisonment,Number,7
Recorded Crime Offences Under Reservation,2017Q4,10 Dublin Metropolitan Region,Abduction of person under 16 years of age,Number,3
Recorded Crime Offences Under Reservation,2017Q4,10 Dublin Metropolitan Region,Human trafficking offences,Number,2
Recorded Crime Offences Under Reservation,2017Q4,10 Dublin Metropolitan Region,"Robbery, extortion and hijacking offences",Number,509
Recorded Crime Offences Under Reservation,2017Q4,10 Dublin Metropolitan Region,Robbery of an establishment or institution,Number,187
