Statistic,Year,Age of Mother at Maternity,Previous Liveborn Children,UNIT,VALUE
Total Births,2011,35 - 39 years,7,Number,37
Total Births,2011,35 - 39 years,8,Number,26
Total Births,2011,35 - 39 years,9,Number,8
Total Births,2011,35 - 39 years,10 or more,Number,13
Total Births,2011,35 - 39 years,Not stated,Number,96
Total Births,2011,40 - 44 years,Previous liveborn children,Number,3658
Total Births,2011,40 - 44 years,0,Number,810
Total Births,2011,40 - 44 years,1,Number,1094
Total Births,2011,40 - 44 years,2,Number,929
Total Births,2011,40 - 44 years,3,Number,440
Total Births,2011,40 - 44 years,4,Number,197
Total Births,2011,40 - 44 years,5,Number,79
Total Births,2011,40 - 44 years,6,Number,31
Total Births,2011,40 - 44 years,7,Number,23
Total Births,2011,40 - 44 years,8,Number,16
Total Births,2011,40 - 44 years,9,Number,4
Total Births,2011,40 - 44 years,10 or more,Number,7
Total Births,2011,40 - 44 years,Not stated,Number,28
Total Births,2011,45 years and over,Previous liveborn children,Number,169
Total Births,2011,45 years and over,0,Number,54
Total Births,2011,45 years and over,1,Number,42
Total Births,2011,45 years and over,2,Number,28
Total Births,2011,45 years and over,3,Number,22
Total Births,2011,45 years and over,4,Number,11
Total Births,2011,45 years and over,5,Number,5
Total Births,2011,45 years and over,6,Number,4
Total Births,2011,45 years and over,7,Number,1
Total Births,2011,45 years and over,8,Number,1
Total Births,2011,45 years and over,9,Number,
Total Births,2011,45 years and over,10 or more,Number,
Total Births,2011,45 years and over,Not stated,Number,1
Total Births,2011,Age not stated,Previous liveborn children,Number,12
Total Births,2011,Age not stated,0,Number,6
Total Births,2011,Age not stated,1,Number,3
Total Births,2011,Age not stated,2,Number,3
Total Births,2011,Age not stated,3,Number,
Total Births,2011,Age not stated,4,Number,
Total Births,2011,Age not stated,5,Number,
Total Births,2011,Age not stated,6,Number,
Total Births,2011,Age not stated,7,Number,
Total Births,2011,Age not stated,8,Number,
Total Births,2011,Age not stated,9,Number,
Total Births,2011,Age not stated,10 or more,Number,
Total Births,2011,Age not stated,Not stated,Number,
Total Births,2011,All ages,Previous liveborn children,Number,74033
Total Births,2011,All ages,0,Number,29210
Total Births,2011,All ages,1,Number,25158
Total Births,2011,All ages,2,Number,12631
Total Births,2011,All ages,3,Number,4410
Total Births,2011,All ages,4,Number,1378
Total Births,2011,All ages,5,Number,507
Total Births,2011,All ages,6,Number,185
Total Births,2011,All ages,7,Number,84
Total Births,2011,All ages,8,Number,58
Total Births,2011,All ages,9,Number,21
Total Births,2011,All ages,10 or more,Number,20
Total Births,2011,All ages,Not stated,Number,371
Total Births,2012,16 years,Previous liveborn children,Number,97
Total Births,2012,16 years,0,Number,94
Total Births,2012,16 years,1,Number,3
Total Births,2012,16 years,2,Number,
Total Births,2012,16 years,3,Number,
Total Births,2012,16 years,4,Number,
Total Births,2012,16 years,5,Number,
Total Births,2012,16 years,6,Number,
Total Births,2012,16 years,7,Number,
Total Births,2012,16 years,8,Number,
Total Births,2012,16 years,9,Number,
Total Births,2012,16 years,10 or more,Number,
Total Births,2012,16 years,Not stated,Number,
Total Births,2012,17 years,Previous liveborn children,Number,227
Total Births,2012,17 years,0,Number,215
Total Births,2012,17 years,1,Number,12
Total Births,2012,17 years,2,Number,
Total Births,2012,17 years,3,Number,
Total Births,2012,17 years,4,Number,
Total Births,2012,17 years,5,Number,
Total Births,2012,17 years,6,Number,
Total Births,2012,17 years,7,Number,
Total Births,2012,17 years,8,Number,
Total Births,2012,17 years,9,Number,
Total Births,2012,17 years,10 or more,Number,
Total Births,2012,17 years,Not stated,Number,
Total Births,2012,18 years,Previous liveborn children,Number,472
Total Births,2012,18 years,0,Number,417
Total Births,2012,18 years,1,Number,48
Total Births,2012,18 years,2,Number,4
Total Births,2012,18 years,3,Number,1
Total Births,2012,18 years,4,Number,
Total Births,2012,18 years,5,Number,
Total Births,2012,18 years,6,Number,
Total Births,2012,18 years,7,Number,
Total Births,2012,18 years,8,Number,
Total Births,2012,18 years,9,Number,
Total Births,2012,18 years,10 or more,Number,
Total Births,2012,18 years,Not stated,Number,2
Total Births,2012,19 years,Previous liveborn children,Number,793
Total Births,2012,19 years,0,Number,664
Total Births,2012,19 years,1,Number,114
Total Births,2012,19 years,2,Number,12
Total Births,2012,19 years,3,Number,2
Total Births,2012,19 years,4,Number,
Total Births,2012,19 years,5,Number,
Total Births,2012,19 years,6,Number,
Total Births,2012,19 years,7,Number,
Total Births,2012,19 years,8,Number,
Total Births,2012,19 years,9,Number,
Total Births,2012,19 years,10 or more,Number,
Total Births,2012,19 years,Not stated,Number,1
Total Births,2012,20 years,Previous liveborn children,Number,968
Total Births,2012,20 years,0,Number,755
Total Births,2012,20 years,1,Number,188
Total Births,2012,20 years,2,Number,20
Total Births,2012,20 years,3,Number,3
Total Births,2012,20 years,4,Number,1
Total Births,2012,20 years,5,Number,
Total Births,2012,20 years,6,Number,
Total Births,2012,20 years,7,Number,
Total Births,2012,20 years,8,Number,
Total Births,2012,20 years,9,Number,
Total Births,2012,20 years,10 or more,Number,
Total Births,2012,20 years,Not stated,Number,1
Total Births,2012,21 years,Previous liveborn children,Number,1169
Total Births,2012,21 years,0,Number,804
Total Births,2012,21 years,1,Number,297
Total Births,2012,21 years,2,Number,54
Total Births,2012,21 years,3,Number,12
Total Births,2012,21 years,4,Number,2
Total Births,2012,21 years,5,Number,
Total Births,2012,21 years,6,Number,
Total Births,2012,21 years,7,Number,
Total Births,2012,21 years,8,Number,
Total Births,2012,21 years,9,Number,
Total Births,2012,21 years,10 or more,Number,
Total Births,2012,21 years,Not stated,Number,
Total Births,2012,22 years,Previous liveborn children,Number,1350
Total Births,2012,22 years,0,Number,834
Total Births,2012,22 years,1,Number,380
Total Births,2012,22 years,2,Number,109
Total Births,2012,22 years,3,Number,19
Total Births,2012,22 years,4,Number,2
Total Births,2012,22 years,5,Number,1
Total Births,2012,22 years,6,Number,1
Total Births,2012,22 years,7,Number,
Total Births,2012,22 years,8,Number,
Total Births,2012,22 years,9,Number,
Total Births,2012,22 years,10 or more,Number,
Total Births,2012,22 years,Not stated,Number,4
Total Births,2012,23 years,Previous liveborn children,Number,1570
Total Births,2012,23 years,0,Number,892
Total Births,2012,23 years,1,Number,501
Total Births,2012,23 years,2,Number,154
Total Births,2012,23 years,3,Number,21
Total Births,2012,23 years,4,Number,
Total Births,2012,23 years,5,Number,1
Total Births,2012,23 years,6,Number,
Total Births,2012,23 years,7,Number,
Total Births,2012,23 years,8,Number,
Total Births,2012,23 years,9,Number,
Total Births,2012,23 years,10 or more,Number,
Total Births,2012,23 years,Not stated,Number,1
Total Births,2012,24 years,Previous liveborn children,Number,1833
Total Births,2012,24 years,0,Number,937
Total Births,2012,24 years,1,Number,658
Total Births,2012,24 years,2,Number,171
Total Births,2012,24 years,3,Number,51
Total Births,2012,24 years,4,Number,10
Total Births,2012,24 years,5,Number,
Total Births,2012,24 years,6,Number,1
Total Births,2012,24 years,7,Number,
Total Births,2012,24 years,8,Number,
Total Births,2012,24 years,9,Number,
Total Births,2012,24 years,10 or more,Number,
Total Births,2012,24 years,Not stated,Number,5
Total Births,2012,25 years,Previous liveborn children,Number,2113
Total Births,2012,25 years,0,Number,1058
Total Births,2012,25 years,1,Number,716
Total Births,2012,25 years,2,Number,260
Total Births,2012,25 years,3,Number,53
Total Births,2012,25 years,4,Number,14
Total Births,2012,25 years,5,Number,7
Total Births,2012,25 years,6,Number,
Total Births,2012,25 years,7,Number,
Total Births,2012,25 years,8,Number,
Total Births,2012,25 years,9,Number,
Total Births,2012,25 years,10 or more,Number,
Total Births,2012,25 years,Not stated,Number,5
Total Births,2012,26 years,Previous liveborn children,Number,2555
Total Births,2012,26 years,0,Number,1219
Total Births,2012,26 years,1,Number,887
Total Births,2012,26 years,2,Number,313
Total Births,2012,26 years,3,Number,93
Total Births,2012,26 years,4,Number,30
Total Births,2012,26 years,5,Number,8
Total Births,2012,26 years,6,Number,
Total Births,2012,26 years,7,Number,
Total Births,2012,26 years,8,Number,
Total Births,2012,26 years,9,Number,
Total Births,2012,26 years,10 or more,Number,
Total Births,2012,26 years,Not stated,Number,5
Total Births,2012,27 years,Previous liveborn children,Number,2956
Total Births,2012,27 years,0,Number,1435
Total Births,2012,27 years,1,Number,1009
Total Births,2012,27 years,2,Number,348
Total Births,2012,27 years,3,Number,114
Total Births,2012,27 years,4,Number,30
Total Births,2012,27 years,5,Number,9
Total Births,2012,27 years,6,Number,2
Total Births,2012,27 years,7,Number,1
Total Births,2012,27 years,8,Number,
Total Births,2012,27 years,9,Number,
Total Births,2012,27 years,10 or more,Number,
Total Births,2012,27 years,Not stated,Number,8
Total Births,2012,28 years,Previous liveborn children,Number,3491
Total Births,2012,28 years,0,Number,1628
Total Births,2012,28 years,1,Number,1207
Total Births,2012,28 years,2,Number,464
Total Births,2012,28 years,3,Number,132
Total Births,2012,28 years,4,Number,42
Total Births,2012,28 years,5,Number,7
Total Births,2012,28 years,6,Number,2
Total Births,2012,28 years,7,Number,
Total Births,2012,28 years,8,Number,1
Total Births,2012,28 years,9,Number,1
Total Births,2012,28 years,10 or more,Number,
Total Births,2012,28 years,Not stated,Number,7
Total Births,2012,29 years,Previous liveborn children,Number,4193
Total Births,2012,29 years,0,Number,1872
Total Births,2012,29 years,1,Number,1535
Total Births,2012,29 years,2,Number,528
Total Births,2012,29 years,3,Number,171
Total Births,2012,29 years,4,Number,48
Total Births,2012,29 years,5,Number,19
Total Births,2012,29 years,6,Number,10
Total Births,2012,29 years,7,Number,2
Total Births,2012,29 years,8,Number,
Total Births,2012,29 years,9,Number,
Total Births,2012,29 years,10 or more,Number,
Total Births,2012,29 years,Not stated,Number,8
Total Births,2012,30 years,Previous liveborn children,Number,4705
Total Births,2012,30 years,0,Number,2064
Total Births,2012,30 years,1,Number,1697
Total Births,2012,30 years,2,Number,609
Total Births,2012,30 years,3,Number,211
Total Births,2012,30 years,4,Number,59
Total Births,2012,30 years,5,Number,33
Total Births,2012,30 years,6,Number,8
Total Births,2012,30 years,7,Number,5
Total Births,2012,30 years,8,Number,1
Total Births,2012,30 years,9,Number,
Total Births,2012,30 years,10 or more,Number,
Total Births,2012,30 years,Not stated,Number,18
Total Births,2012,31 years,Previous liveborn children,Number,5245
Total Births,2012,31 years,0,Number,2250
Total Births,2012,31 years,1,Number,1885
Total Births,2012,31 years,2,Number,752
Total Births,2012,31 years,3,Number,231
Total Births,2012,31 years,4,Number,68
Total Births,2012,31 years,5,Number,30
Total Births,2012,31 years,6,Number,7
Total Births,2012,31 years,7,Number,6
Total Births,2012,31 years,8,Number,2
Total Births,2012,31 years,9,Number,2
Total Births,2012,31 years,10 or more,Number,
Total Births,2012,31 years,Not stated,Number,12
Total Births,2012,32 years,Previous liveborn children,Number,5555
Total Births,2012,32 years,0,Number,2143
Total Births,2012,32 years,1,Number,2129
Total Births,2012,32 years,2,Number,856
Total Births,2012,32 years,3,Number,261
Total Births,2012,32 years,4,Number,98
Total Births,2012,32 years,5,Number,26
Total Births,2012,32 years,6,Number,13
Total Births,2012,32 years,7,Number,11
Total Births,2012,32 years,8,Number,2
Total Births,2012,32 years,9,Number,
Total Births,2012,32 years,10 or more,Number,
Total Births,2012,32 years,Not stated,Number,16
Total Births,2012,33 years,Previous liveborn children,Number,5437
Total Births,2012,33 years,0,Number,1831
Total Births,2012,33 years,1,Number,2193
Total Births,2012,33 years,2,Number,964
Total Births,2012,33 years,3,Number,271
Total Births,2012,33 years,4,Number,95
Total Births,2012,33 years,5,Number,45
Total Births,2012,33 years,6,Number,10
Total Births,2012,33 years,7,Number,3
Total Births,2012,33 years,8,Number,2
Total Births,2012,33 years,9,Number,2
Total Births,2012,33 years,10 or more,Number,1
Total Births,2012,33 years,Not stated,Number,20
Total Births,2012,34 years,Previous liveborn children,Number,5086
Total Births,2012,34 years,0,Number,1564
Total Births,2012,34 years,1,Number,1963
Total Births,2012,34 years,2,Number,1067
Total Births,2012,34 years,3,Number,322
Total Births,2012,34 years,4,Number,95
Total Births,2012,34 years,5,Number,34
Total Births,2012,34 years,6,Number,14
Total Births,2012,34 years,7,Number,5
Total Births,2012,34 years,8,Number,1
Total Births,2012,34 years,9,Number,4
Total Births,2012,34 years,10 or more,Number,2
Total Births,2012,34 years,Not stated,Number,15
Total Births,2012,35 years,Previous liveborn children,Number,4762
Total Births,2012,35 years,0,Number,1239
Total Births,2012,35 years,1,Number,1863
Total Births,2012,35 years,2,Number,1150
Total Births,2012,35 years,3,Number,326
Total Births,2012,35 years,4,Number,95
Total Births,2012,35 years,5,Number,47
Total Births,2012,35 years,6,Number,14
Total Births,2012,35 years,7,Number,8
Total Births,2012,35 years,8,Number,4
Total Births,2012,35 years,9,Number,2
Total Births,2012,35 years,10 or more,Number,1
Total Births,2012,35 years,Not stated,Number,13
Total Births,2012,36 years,Previous liveborn children,Number,4314
Total Births,2012,36 years,0,Number,1024
Total Births,2012,36 years,1,Number,1534
Total Births,2012,36 years,2,Number,1120
Total Births,2012,36 years,3,Number,428
Total Births,2012,36 years,4,Number,127
Total Births,2012,36 years,5,Number,35
Total Births,2012,36 years,6,Number,8
Total Births,2012,36 years,7,Number,4
Total Births,2012,36 years,8,Number,4
Total Births,2012,36 years,9,Number,6
Total Births,2012,36 years,10 or more,Number,4
Total Births,2012,36 years,Not stated,Number,20
Total Births,2012,37 years,Previous liveborn children,Number,3508
Total Births,2012,37 years,0,Number,764
Total Births,2012,37 years,1,Number,1181
Total Births,2012,37 years,2,Number,1035
Total Births,2012,37 years,3,Number,363
Total Births,2012,37 years,4,Number,92
Total Births,2012,37 years,5,Number,36
Total Births,2012,37 years,6,Number,13
Total Births,2012,37 years,7,Number,4
Total Births,2012,37 years,8,Number,5
Total Births,2012,37 years,9,Number,2
Total Births,2012,37 years,10 or more,Number,2
Total Births,2012,37 years,Not stated,Number,11
Total Births,2012,38 years,Previous liveborn children,Number,2903
Total Births,2012,38 years,0,Number,562
Total Births,2012,38 years,1,Number,971
Total Births,2012,38 years,2,Number,837
Total Births,2012,38 years,3,Number,352
Total Births,2012,38 years,4,Number,104
Total Births,2012,38 years,5,Number,40
Total Births,2012,38 years,6,Number,12
Total Births,2012,38 years,7,Number,3
Total Births,2012,38 years,8,Number,7
Total Births,2012,38 years,9,Number,2
Total Births,2012,38 years,10 or more,Number,2
Total Births,2012,38 years,Not stated,Number,11
Total Births,2012,39 years,Previous liveborn children,Number,2332
Total Births,2012,39 years,0,Number,487
Total Births,2012,39 years,1,Number,722
Total Births,2012,39 years,2,Number,653
Total Births,2012,39 years,3,Number,299
Total Births,2012,39 years,4,Number,101
Total Births,2012,39 years,5,Number,32
Total Births,2012,39 years,6,Number,11
Total Births,2012,39 years,7,Number,8
Total Births,2012,39 years,8,Number,2
Total Births,2012,39 years,9,Number,3
